stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
12,YRKABCN,YORK & ABERCORN EB,E YORK ST & UNNAMED,32.077084,-81.090341,,,,,,0
15,ABCRNMCN,ABERCORN & MACON SB,ABERCORN ST & E MACON ST,32.073144,-81.092043,,,,,,0
30,ABHENO,ABERCORN & HENRY SB,ABERCORN ST & E HENRY ST,32.062877,-81.095552,,,,,,0
34,OGLMALL,OGLETHORPE MALL,,32.002524,-81.114228,,,,,,0
35,ABTIBOB,ABERCORN & TIBET SB,ABERCORN ST & ABERCORN EXT,31.989035,-81.130976,,,,,,0
40,ABHENIB,ABERCORN & HENRY NB,E HENRY ST & LINCOLN ST,32.062616,-81.095605,,,,,,0
46,BDVN,BOB HARMAN & DAVIDSON SB,BOB HARMAN RD,32.120748,-81.195331,,,,,,0
47,SAVAP,SAVANNAH  AIRPORT,AIRWAYS AVE,32.135833,-81.210213,,,,,,0
50,HW21CG,HWY 21 & CROSSGATE WB,CROSSGATE DR & AUGUSTA RD,32.146313,-81.177719,,,,,,0
54,BROAB,BROUGHTON & ABERCORN EB,,32.078367,-81.089819,,,,,,0
63,BAYALOB,BAY & MILLEN WB,GA-25-CONN & MILLEN ST,32.088356,-81.118552,,,,,,0
64,BAYHU,BAY & HUDSON WB,,32.088813,-81.120192,,,,,,0
65,BAYKEN,BAY & KENILWORTH WB,,32.089799,-81.123833,,,,,,0
66,BAYGR,BAY & GRAHAM WB,GRAHAM AVE & HUDSON ST,32.090346,-81.125729,,,,,,0
68,H21CHOB,HWY 21 & DEAN FOREST WB,,32.125476,-81.169374,,,,,,0
71,H307DOB,HWY 307 & DAVIDSON WB,DAVIDSON RD & BOURNE AVE,32.119695,-81.189526,,,,,,0
72,WHIQUOB,WHITE & QUAIL RUN LODGE EB,,32.120318,-81.194447,,,,,,0
75,AIRCROSS,AIRWAYS & CROSSROADS WB,AIRWAYS AVE,32.13888,-81.23312,,,,,,0
